학년,과목,단원명,차시,차시명
3학년,국어,1. 작품을 보고 느낌을 나누어요,1차시,인물의 표정·말투 관찰하기
3학년,국어,1. 작품을 보고 느낌을 나누어요,2차시,느낌과 생각 나누기
3학년,국어,1. 작품을 보고 느낌을 나누어요,3차시,작품의 내용을 요약하고 발표하기
3학년,수학,1. 곱셈과 나눗셈,1차시,한 자리 수 곱셈 개념 익히기
3학년,수학,1. 곱셈과 나눗셈,2차시,곱셈식으로 문제 해결하기
3학년,수학,1. 곱셈과 나눗셈,3차시,곱셈식의 활용 문제 풀기
4학년,국어,2. 중심 생각을 찾아요,1차시,중심 문장과 중심 생각 파악하기
4학년,국어,2. 중심 생각을 찾아요,2차시,제목과 삽화로 추론하기
4학년,국어,2. 중심 생각을 찾아요,3차시,여러 문단의 중심 생각 비교하기
4학년,수학,1. 큰 수,1차시,네 자리 수 읽고 쓰기
4학년,수학,1. 큰 수,2차시,수 비교와 자리값 이해하기
4학년,수학,1. 큰 수,3차시,수의 크기 비교 및 정렬
5학년,국어,3. 주장과 근거를 생각해요,1차시,주장문에서 핵심 주장 찾기
5학년,국어,3. 주장과 근거를 생각해요,2차시,타당한 근거 판단하기
5학년,국어,3. 주장과 근거를 생각해요,3차시,자신의 의견에 근거 붙여 말하기
5학년,수학,2. 약수와 배수,1차시,약수 개념 이해하기
5학년,수학,2. 약수와 배수,2차시,공약수·공배수 구하기
5학년,수학,2. 약수와 배수,3차시,배수의 활용 문제 풀기
6학년,국어,4. 논설문의 주장과 구조,1차시,논설문의 주제와 주장 파악
6학년,국어,4. 논설문의 주장과 구조,2차시,근거와 반론 구조 분석하기
6학년,국어,4. 논설문의 주장과 구조,3차시,논설문에 나오는 근거의 타당성 평가
6학년,수학,3. 비와 비율,1차시,비의 의미와 표현 익히기
6학년,수학,3. 비와 비율,2차시,비율 계산 및 활용 문제 풀기
6학년,수학,3. 비와 비율,3차시,비율을 활용한 문제 해결
